,ID,Age,Gender,Version,Stimulus,Reaction_time
0,21,22,male,stream.,Once,0.7163167079852428
1,21,22,male,stream.,upon,0.41058283200254664
2,21,22,male,stream.,a,0.46075680301873945
3,21,22,male,stream.,time,0.5880606450082269
4,21,22,male,stream.,there,0.4433580049953889
5,21,22,male,stream.,was,0.4445596039877273
6,21,22,male,stream.,a,0.47224428100162186
7,21,22,male,stream.,bear.,0.5110757520014886
8,21,22,male,stream.,He,0.40138911601388827
9,21,22,male,stream.,was,0.4122230779903475
10,21,22,male,stream.,feeling,0.5609032420034055
11,21,22,male,stream.,a,0.4289584989892319
12,21,22,male,stream.,little,0.4901201910106465
13,21,22,male,stream.,hungry,0.5766087779775262
14,21,22,male,stream.,so,0.44807188800768927
15,21,22,male,stream.,he,0.4327830499969423
16,21,22,male,stream.,decided,0.4142834360245615
17,21,22,male,stream.,to,0.43924568200600334
18,21,22,male,stream.,go,0.45999672199832276
19,21,22,male,stream.,catch,0.3561069050047081
20,21,22,male,stream.,some,0.37998175001121126
21,21,22,male,stream.,salmon,0.366871361999074
22,21,22,male,stream.,by,0.39759560200036503
23,21,22,male,stream.,the,0.3514713189797476
24,21,22,male,stream.,river.,0.4161642199906055
25,21,22,male,stream.,He,0.3938689750211779
26,21,22,male,stream.,got,0.32788740799878724
27,21,22,male,stream.,"up,",0.36503744299989194
28,21,22,male,stream.,stretched,0.35638122499221936
29,21,22,male,stream.,his,0.36802235897630453
30,21,22,male,stream.,bear,0.33558029800769873
31,21,22,male,stream.,arms,0.4287569239968434
32,21,22,male,stream.,and,0.32170773899997585
33,21,22,male,stream.,"legs,",0.3500402730132919
34,21,22,male,stream.,and,0.3666152819932904
35,21,22,male,stream.,went,0.35429877700516954
36,21,22,male,stream.,on,0.3703832369938027
37,21,22,male,stream.,down.,0.382015475013759
38,21,22,male,stream.,By,0.3965966080140788
39,21,22,male,stream.,the,0.327909676998388
40,21,22,male,stream.,river,0.34419886200339533
41,21,22,male,stream.,he,0.3324648590059951
42,21,22,male,stream.,met,0.35708608001004905
43,21,22,male,stream.,his,0.3134765699796844
44,21,22,male,stream.,friend.,0.36204735600040294
45,21,22,male,stream.,His,0.3409926029853523
46,21,22,male,stream.,friend,0.3022504230029881
47,21,22,male,stream.,had,0.32382330400287174
48,21,22,male,stream.,the,0.34870171500369906
49,21,22,male,stream.,same,0.28983058701851405
50,21,22,male,stream.,thought,0.33871566801099107
51,21,22,male,stream.,about,0.3035749350092374
52,21,22,male,stream.,catching,0.3125741480034776
53,21,22,male,stream.,salmon.,0.3264447410183493
54,21,22,male,stream.,Together,0.4712181710056029
55,21,22,male,stream.,they,0.47112383699277416
56,21,22,male,stream.,got,0.5217326130077709
57,21,22,male,stream.,to,0.3675519289972726
58,21,22,male,stream.,"work,",0.3349693790078163
59,21,22,male,stream.,fishing,0.3719551580143161
60,21,22,male,stream.,for,0.3145918650261592
61,21,22,male,stream.,salmon.,0.359636329987552
62,21,22,male,stream.,It,0.3356570480100345
63,21,22,male,stream.,was,0.3404453069961164
64,21,22,male,stream.,a,0.3325256959942635
65,21,22,male,stream.,lovely,0.33800063098897226
66,21,22,male,stream.,day,0.2900973859941587
67,21,22,male,stream.,and,0.3035906759905629
68,21,22,male,stream.,they,0.34634281700709835
69,21,22,male,stream.,were,0.2946265409991611
70,21,22,male,stream.,having,0.27959951700177044
71,21,22,male,stream.,a,0.29484447301365435
72,21,22,male,stream.,good,0.2724635270133149
73,21,22,male,stream.,time,0.3037935869942885
74,21,22,male,stream.,fishing.,0.26492759500979446
75,21,22,male,stream.,By,0.31184157100506127
76,21,22,male,stream.,the,0.27356151200365275
77,21,22,male,stream.,end,0.2882979419955518
78,21,22,male,stream.,of,0.2660155440098606
79,21,22,male,stream.,the,0.28230135201010853
80,21,22,male,stream.,"day,",0.2762255600246135
81,21,22,male,stream.,as,0.27474190198699944
82,21,22,male,stream.,the,0.25360513001214713
83,21,22,male,stream.,sun,0.27063402798376046
84,21,22,male,stream.,went,0.2815016539825592
85,21,22,male,stream.,down,0.26406930599478073
86,21,22,male,stream.,they,0.24326843197923154
87,21,22,male,stream.,enjoyed,0.2509231989970431
88,21,22,male,stream.,the,0.3436469769803807
89,21,22,male,stream.,sunset,0.2912455619953107
90,21,22,male,stream.,together.,0.28515925601823255
91,21,22,male,stream.,The,0.3162839210126549
92,21,22,male,stream.,sun,0.2534822760208044
93,21,22,male,stream.,was,0.2855629969853908
94,21,22,male,stream.,many,0.27241182600846514
95,21,22,male,stream.,colours,0.26278417598223314
96,21,22,male,stream.,of,0.290560755005572
97,21,22,male,stream.,red.,0.27981517399894074
98,21,22,male,stream.,"Suddenly,",0.29957063699839637
99,21,22,male,stream.,they,0.3049520989879966
100,21,22,male,stream.,saw,0.25071631601895206
101,21,22,male,stream.,a,0.27487021998967975
102,21,22,male,stream.,salmon,0.27791052698739804
103,21,22,male,stream.,coming,0.2918781499902252
104,21,22,male,stream.,up,0.25366337501327507
105,21,22,male,stream.,the,0.2868253979831934
106,21,22,male,stream.,stream.,0.27241568799945526
107,21,22,male,stream.,They,0.30336680001346394
108,21,22,male,stream.,swiped,0.26601161298458464
109,21,22,male,stream.,at,0.30498976400122046
110,21,22,male,stream.,the,0.25826476101065055
111,21,22,male,stream.,"salmon,",0.29039934201864526
112,21,22,male,stream.,caught,0.24365204098285176
113,21,22,male,stream.,"it,",0.29185137600870803
114,21,22,male,stream.,and,0.25328661801177077
115,21,22,male,stream.,shared,0.27700788699439727
116,21,22,male,stream.,a,0.2955041929963045
117,21,22,male,stream.,delicious,0.27756390400463715
118,21,22,male,stream.,meal,0.27311493598972447
119,21,22,male,stream.,together,0.2546464990009554
