,ID,Age,Gender,Version,Stimulus,Reaction_time
0,5,14,female,stream.,Once,1.579380584997125
1,5,14,female,stream.,upon,0.5343607380054891
2,5,14,female,stream.,a,0.47371214302256703
3,5,14,female,stream.,time,0.49457982199965045
4,5,14,female,stream.,there,0.5418401249917224
5,5,14,female,stream.,was,0.599031533987727
6,5,14,female,stream.,a,0.47810248701716773
7,5,14,female,stream.,bear.,0.5159373999922536
8,5,14,female,stream.,He,0.47925438097445294
9,5,14,female,stream.,was,0.4364623859873973
10,5,14,female,stream.,feeling,0.4265208419819828
11,5,14,female,stream.,a,0.41008192699518986
12,5,14,female,stream.,little,0.4347262909868732
13,5,14,female,stream.,hungry,0.43377017401508056
14,5,14,female,stream.,so,0.4644298990024254
15,5,14,female,stream.,he,0.4063620260276366
16,5,14,female,stream.,decided,0.46276691200910136
17,5,14,female,stream.,to,0.451318673993228
18,5,14,female,stream.,go,0.40223945799516514
19,5,14,female,stream.,catch,0.4824594379751943
20,5,14,female,stream.,some,0.5267179390066303
21,5,14,female,stream.,salmon,0.514273904991569
22,5,14,female,stream.,by,0.46305200600181706
23,5,14,female,stream.,the,0.4281330119993072
24,5,14,female,stream.,river.,0.49252798399538733
25,5,14,female,stream.,He,0.5516983759880532
26,5,14,female,stream.,got,0.6425284130091313
27,5,14,female,stream.,"up,",0.39432328401017
28,5,14,female,stream.,stretched,1.186555791995488
29,5,14,female,stream.,his,0.5713670090190135
30,5,14,female,stream.,bear,0.5007891370041762
31,5,14,female,stream.,arms,0.5136183999711648
32,5,14,female,stream.,and,0.549768969998695
33,5,14,female,stream.,"legs,",0.5687194349884521
34,5,14,female,stream.,and,0.4755713909980841
35,5,14,female,stream.,went,0.5121258209983353
36,5,14,female,stream.,on,0.4667696109972894
37,5,14,female,stream.,down.,0.4733812889899127
38,5,14,female,stream.,By,0.8063225150108337
39,5,14,female,stream.,the,0.4469987000047695
40,5,14,female,stream.,river,0.48338041102397256
41,5,14,female,stream.,he,0.48273227497702464
42,5,14,female,stream.,met,0.464330371003598
43,5,14,female,stream.,his,0.525957448000554
44,5,14,female,stream.,friend.,0.5616853759856895
45,5,14,female,stream.,His,0.5714453140099067
46,5,14,female,stream.,friend,0.5162792240153067
47,5,14,female,stream.,had,0.5286337540019304
48,5,14,female,stream.,the,0.5556565329898149
49,5,14,female,stream.,same,0.6145751000149176
50,5,14,female,stream.,thought,0.5103033189952839
51,5,14,female,stream.,about,0.5056876440066844
52,5,14,female,stream.,catching,0.5985813480219804
53,5,14,female,stream.,salmon.,0.5745088999974541
54,5,14,female,stream.,Together,0.8247002880088985
55,5,14,female,stream.,they,0.615906259015901
56,5,14,female,stream.,got,0.4648176149930805
57,5,14,female,stream.,to,0.4379078029887751
58,5,14,female,stream.,"work,",0.5490940200106706
59,5,14,female,stream.,fishing,0.47931577102281153
60,5,14,female,stream.,for,0.5166229700262193
61,5,14,female,stream.,salmon.,0.640704542020103
62,5,14,female,stream.,It,0.5750675570161548
63,5,14,female,stream.,was,0.4088337249995675
64,5,14,female,stream.,a,0.4564026030129753
65,5,14,female,stream.,lovely,0.5497052269929554
66,5,14,female,stream.,day,0.7605935870087706
67,5,14,female,stream.,and,0.6355472590075806
68,5,14,female,stream.,they,0.7472571539983619
69,5,14,female,stream.,were,0.6143460379971657
70,5,14,female,stream.,having,0.6452625950041693
71,5,14,female,stream.,a,0.5098045859776903
72,5,14,female,stream.,good,0.5444771180045791
73,5,14,female,stream.,time,0.4274541949853301
74,5,14,female,stream.,fishing.,0.45069726201472804
75,5,14,female,stream.,By,0.465168057999108
76,5,14,female,stream.,the,0.6161652070004493
77,5,14,female,stream.,end,0.42371019200072624
78,5,14,female,stream.,of,0.4776882959995419
79,5,14,female,stream.,the,0.9147288129897788
80,5,14,female,stream.,"day,",0.5057031039905269
81,5,14,female,stream.,as,0.45216869498835877
82,5,14,female,stream.,the,0.5299736819870304
83,5,14,female,stream.,sun,0.444886499986751
84,5,14,female,stream.,went,0.4108810530160554
85,5,14,female,stream.,down,0.4434319910069462
86,5,14,female,stream.,they,0.46608846497838385
87,5,14,female,stream.,enjoyed,1.2645750060037244
88,5,14,female,stream.,the,1.1187663179880474
89,5,14,female,stream.,sunset,0.6519754680048209
90,5,14,female,stream.,together.,0.5549183099938091
91,5,14,female,stream.,The,0.47664296001312323
92,5,14,female,stream.,sun,0.513515228027245
93,5,14,female,stream.,was,0.44660198999918066
94,5,14,female,stream.,many,0.5562090410094243
95,5,14,female,stream.,colours,0.6552314269938506
96,5,14,female,stream.,of,0.4921170139859896
97,5,14,female,stream.,red.,0.5776914210000541
98,5,14,female,stream.,"Suddenly,",0.5870932879915927
99,5,14,female,stream.,they,0.5070707949926145
100,5,14,female,stream.,saw,0.45532383798854426
101,5,14,female,stream.,a,0.44499835700844415
102,5,14,female,stream.,salmon,0.55520013399655
103,5,14,female,stream.,coming,0.4699396379874088
104,5,14,female,stream.,up,0.5151306999905501
105,5,14,female,stream.,the,0.5750916170072742
106,5,14,female,stream.,stream.,0.5923038629989605
107,5,14,female,stream.,They,0.6982215489842929
108,5,14,female,stream.,swiped,0.5984870060055982
109,5,14,female,stream.,at,0.7918513950135093
110,5,14,female,stream.,the,0.5287470780021977
111,5,14,female,stream.,"salmon,",0.7404110299830791
112,5,14,female,stream.,caught,0.49459747501532547
113,5,14,female,stream.,"it,",0.4115697469969746
114,5,14,female,stream.,and,0.49045022297650576
115,5,14,female,stream.,shared,0.528234954981599
116,5,14,female,stream.,a,0.4762228640029207
117,5,14,female,stream.,delicious,0.5846121139766183
118,5,14,female,stream.,meal,0.48069074100931175
119,5,14,female,stream.,together,0.5337336150114425
