,ID,Age,Gender,Version,Stimulus,Reaction_time
0,8,52,male,building.,Once,1.3336744539847132
1,8,52,male,building.,upon,0.6181682180031203
2,8,52,male,building.,a,0.5069232959940564
3,8,52,male,building.,time,0.44602937798481435
4,8,52,male,building.,there,0.5402999600046314
5,8,52,male,building.,was,0.4315174549992662
6,8,52,male,building.,a,0.4944251940178219
7,8,52,male,building.,bear.,0.8277480870019644
8,8,52,male,building.,He,0.603261455980828
9,8,52,male,building.,was,0.4692640859866515
10,8,52,male,building.,feeling,0.6483415830007289
11,8,52,male,building.,a,0.5115515840006992
12,8,52,male,building.,little,0.5404620769841131
13,8,52,male,building.,hungry,0.4772629069921095
14,8,52,male,building.,so,0.5235473969951272
15,8,52,male,building.,he,0.37440050501027144
16,8,52,male,building.,decided,0.6234617739974055
17,8,52,male,building.,to,0.3993161419930402
18,8,52,male,building.,go,0.3914973279752303
19,8,52,male,building.,catch,0.4242308149987366
20,8,52,male,building.,some,0.5122069790086243
21,8,52,male,building.,salmon,0.6344212170224637
22,8,52,male,building.,by,0.5220440929988399
23,8,52,male,building.,the,0.4139350980112795
24,8,52,male,building.,river.,0.37237626500427723
25,8,52,male,building.,He,0.5656577889749315
26,8,52,male,building.,got,0.42423354799393564
27,8,52,male,building.,"up,",0.4237617489998229
28,8,52,male,building.,stretched,0.5980377860250883
29,8,52,male,building.,his,0.49621527901035734
30,8,52,male,building.,bear,0.434917176986346
31,8,52,male,building.,arms,0.603154964017449
32,8,52,male,building.,and,0.44223410199629143
33,8,52,male,building.,"legs,",0.49723558902041987
34,8,52,male,building.,and,0.4945340040139854
35,8,52,male,building.,went,1.4822623229993042
36,8,52,male,building.,on,0.4180851030105259
37,8,52,male,building.,down.,0.505541696009459
38,8,52,male,building.,By,0.5022877029841766
39,8,52,male,building.,the,0.44234097498701885
40,8,52,male,building.,river,0.36058404500363395
41,8,52,male,building.,he,0.4500266720133368
42,8,52,male,building.,met,0.8008998180157505
43,8,52,male,building.,his,0.4346059109957423
44,8,52,male,building.,friend.,0.5930318619939499
45,8,52,male,building.,His,0.49718932100222446
46,8,52,male,building.,friend,0.4295838070102036
47,8,52,male,building.,had,0.40462856099475175
48,8,52,male,building.,the,0.5983221770147793
49,8,52,male,building.,same,0.4455069809919223
50,8,52,male,building.,thought,0.5073530760128051
51,8,52,male,building.,about,0.5116355039936025
52,8,52,male,building.,catching,0.5573362320137676
53,8,52,male,building.,salmon.,0.4219392289815005
54,8,52,male,building.,Together,0.46109699801309034
55,8,52,male,building.,they,0.3943895190022886
56,8,52,male,building.,got,0.38732029200764373
57,8,52,male,building.,to,0.40320715599227697
58,8,52,male,building.,"work,",0.7799098640098237
59,8,52,male,building.,fishing,0.5333214980200864
60,8,52,male,building.,for,0.48195443098666146
61,8,52,male,building.,salmon.,0.5263702109805308
62,8,52,male,building.,It,0.4411273470032029
63,8,52,male,building.,was,0.42361161700682715
64,8,52,male,building.,a,0.44616383998072706
65,8,52,male,building.,lovely,0.5661284620000515
66,8,52,male,building.,day,0.4560740570013877
67,8,52,male,building.,and,0.4604984229954425
68,8,52,male,building.,they,0.42672293199575506
69,8,52,male,building.,were,0.47373273500124924
70,8,52,male,building.,having,0.48681904101977125
71,8,52,male,building.,a,0.39582531500491314
72,8,52,male,building.,good,0.35620111200842075
73,8,52,male,building.,time,0.38124544598395005
74,8,52,male,building.,fishing.,0.5897845909930766
75,8,52,male,building.,By,0.4151461439905688
76,8,52,male,building.,the,0.39188299397937953
77,8,52,male,building.,end,0.43899159599095583
78,8,52,male,building.,of,0.4376209410256706
79,8,52,male,building.,the,0.3405990190221928
80,8,52,male,building.,"day,",0.3428803439892363
81,8,52,male,building.,as,0.4010269499849528
82,8,52,male,building.,the,0.5303299220104236
83,8,52,male,building.,sun,0.428233206999721
84,8,52,male,building.,went,0.48244082200108096
85,8,52,male,building.,down,0.42467344700708054
86,8,52,male,building.,they,0.42218901999876834
87,8,52,male,building.,enjoyed,0.5580491319997236
88,8,52,male,building.,the,0.4234728349838406
89,8,52,male,building.,sunset,0.43107686200528406
90,8,52,male,building.,together.,0.5349872240039986
91,8,52,male,building.,The,0.4738799520127941
92,8,52,male,building.,sun,0.49467830901267007
93,8,52,male,building.,was,0.45078116300283
94,8,52,male,building.,many,0.4811175759823527
95,8,52,male,building.,colours,0.8795490850170609
96,8,52,male,building.,of,0.4446046669909265
97,8,52,male,building.,red.,0.49072126697865315
98,8,52,male,building.,"Suddenly,",0.6954409500176553
99,8,52,male,building.,they,0.4685193620098289
100,8,52,male,building.,saw,0.7414314440102316
101,8,52,male,building.,a,0.4216972060094122
102,8,52,male,building.,salmon,0.5320654950046446
103,8,52,male,building.,coming,0.5838914530177135
104,8,52,male,building.,up,0.49696780400699936
105,8,52,male,building.,the,0.4615074750036001
106,8,52,male,building.,building.,1.0281317369954195
107,8,52,male,building.,They,2.045110964012565
108,8,52,male,building.,swiped,1.0305690079985652
109,8,52,male,building.,at,0.5908280789735727
110,8,52,male,building.,the,0.5183816729986575
111,8,52,male,building.,"salmon,",0.5239722819824237
112,8,52,male,building.,caught,0.6307422679965384
113,8,52,male,building.,"it,",0.5662525829975493
114,8,52,male,building.,and,0.592379449022701
115,8,52,male,building.,shared,0.7679055290063843
116,8,52,male,building.,a,0.45134826001594774
117,8,52,male,building.,delicious,0.5610069959948305
118,8,52,male,building.,meal,0.44247957901097834
119,8,52,male,building.,together,0.5782719120034017
