,ID,Age,Gender,Version,Stimulus,Reaction_time
0,17,18,male,stream.,Once,0.7867086910118815
1,17,18,male,stream.,upon,0.45561823999742046
2,17,18,male,stream.,a,0.4980874210014008
3,17,18,male,stream.,time,0.7617262460116763
4,17,18,male,stream.,there,0.46508612600155175
5,17,18,male,stream.,was,0.38536790100624785
6,17,18,male,stream.,a,0.41616652999073267
7,17,18,male,stream.,bear.,0.4261655019945465
8,17,18,male,stream.,He,0.5744529810035601
9,17,18,male,stream.,was,0.36986266801250167
10,17,18,male,stream.,feeling,0.46495479901204817
11,17,18,male,stream.,a,0.3777977400168311
12,17,18,male,stream.,little,0.3995316499785986
13,17,18,male,stream.,hungry,0.4100352780078538
14,17,18,male,stream.,so,0.3837152549822349
15,17,18,male,stream.,he,0.3561794800043572
16,17,18,male,stream.,decided,0.38562391500454396
17,17,18,male,stream.,to,0.40577187098097056
18,17,18,male,stream.,go,0.3789156879938673
19,17,18,male,stream.,catch,0.38256008800817654
20,17,18,male,stream.,some,0.38893478401587345
21,17,18,male,stream.,salmon,0.38252266400377266
22,17,18,male,stream.,by,0.3983452880056575
23,17,18,male,stream.,the,0.3937098379828967
24,17,18,male,stream.,river.,0.351625259994762
25,17,18,male,stream.,He,0.37135269201826304
26,17,18,male,stream.,got,0.35385749200941063
27,17,18,male,stream.,"up,",0.36542473200825043
28,17,18,male,stream.,stretched,0.7013043210026808
29,17,18,male,stream.,his,0.4850232279859483
30,17,18,male,stream.,bear,0.4311940610059537
31,17,18,male,stream.,arms,0.5369414940068964
32,17,18,male,stream.,and,0.4340674319828395
33,17,18,male,stream.,"legs,",0.4270855280046817
34,17,18,male,stream.,and,0.4089249400130939
35,17,18,male,stream.,went,0.7049705969984643
36,17,18,male,stream.,on,0.403599301003851
37,17,18,male,stream.,down.,0.4691012130060699
38,17,18,male,stream.,By,0.8014325750118587
39,17,18,male,stream.,the,0.4030669320200104
40,17,18,male,stream.,river,0.529360896005528
41,17,18,male,stream.,he,0.4237180560012348
42,17,18,male,stream.,met,0.38027305202558637
43,17,18,male,stream.,his,0.43126312299864367
44,17,18,male,stream.,friend.,0.5005837029893883
45,17,18,male,stream.,His,0.5463825610058848
46,17,18,male,stream.,friend,0.46748299300088547
47,17,18,male,stream.,had,0.36387750500580296
48,17,18,male,stream.,the,0.4427035119733773
49,17,18,male,stream.,same,0.4268230219895486
50,17,18,male,stream.,thought,0.4237183859804645
51,17,18,male,stream.,about,0.5208454160019755
52,17,18,male,stream.,catching,0.44334147800691426
53,17,18,male,stream.,salmon.,0.4353408600145485
54,17,18,male,stream.,Together,0.4790056869969703
55,17,18,male,stream.,they,0.43924128197249956
56,17,18,male,stream.,got,0.434515127009945
57,17,18,male,stream.,to,0.4605140920029953
58,17,18,male,stream.,"work,",0.42492378200404346
59,17,18,male,stream.,fishing,0.40927357200416736
60,17,18,male,stream.,for,0.3826839719840791
61,17,18,male,stream.,salmon.,0.42604731299798004
62,17,18,male,stream.,It,0.36669620699831285
63,17,18,male,stream.,was,0.38608913897769526
64,17,18,male,stream.,a,0.34539623800083064
65,17,18,male,stream.,lovely,0.35689549800008535
66,17,18,male,stream.,day,0.36485799099318683
67,17,18,male,stream.,and,0.3601207569881808
68,17,18,male,stream.,they,0.33579681999981403
69,17,18,male,stream.,were,0.3576893720019143
70,17,18,male,stream.,having,0.38040949299465865
71,17,18,male,stream.,a,0.38386011199327186
72,17,18,male,stream.,good,0.34999110401258804
73,17,18,male,stream.,time,0.37807603998226114
74,17,18,male,stream.,fishing.,0.36904147602035664
75,17,18,male,stream.,By,0.3490890479879454
76,17,18,male,stream.,the,0.3329791690048296
77,17,18,male,stream.,end,0.33721398600027896
78,17,18,male,stream.,of,0.346880475000944
79,17,18,male,stream.,the,0.3264282890013419
80,17,18,male,stream.,"day,",0.33686158602358773
81,17,18,male,stream.,as,0.3246035850024782
82,17,18,male,stream.,the,0.6525391990144271
83,17,18,male,stream.,sun,0.5974984090134967
84,17,18,male,stream.,went,0.4285658900043927
85,17,18,male,stream.,down,0.3819948690070305
86,17,18,male,stream.,they,0.45235558500280604
87,17,18,male,stream.,enjoyed,0.4602528830000665
88,17,18,male,stream.,the,0.4157444539887365
89,17,18,male,stream.,sunset,0.4657999509945512
90,17,18,male,stream.,together.,0.40536616000463255
91,17,18,male,stream.,The,0.43172770700766705
92,17,18,male,stream.,sun,0.44418631400913
93,17,18,male,stream.,was,0.34049966000020504
94,17,18,male,stream.,many,0.3969067180005368
95,17,18,male,stream.,colours,0.41639446999761276
96,17,18,male,stream.,of,0.38122365399613045
97,17,18,male,stream.,red.,0.4732294900168199
98,17,18,male,stream.,"Suddenly,",0.4988766919996124
99,17,18,male,stream.,they,0.3939032400085125
100,17,18,male,stream.,saw,0.40813955798512325
101,17,18,male,stream.,a,0.3853921330010053
102,17,18,male,stream.,salmon,0.40853279098519124
103,17,18,male,stream.,coming,0.39500543399481103
104,17,18,male,stream.,up,0.4163561449968256
105,17,18,male,stream.,the,0.4179065579955932
106,17,18,male,stream.,stream.,0.4164409770164639
107,17,18,male,stream.,They,0.38628112702281214
108,17,18,male,stream.,swiped,0.4006057849910576
109,17,18,male,stream.,at,0.4108108450018335
110,17,18,male,stream.,the,0.40764100998057984
111,17,18,male,stream.,"salmon,",0.5130285499908496
112,17,18,male,stream.,caught,0.49139315300271846
113,17,18,male,stream.,"it,",0.4016297629859764
114,17,18,male,stream.,and,0.44859469300718047
115,17,18,male,stream.,shared,0.41790823999326676
116,17,18,male,stream.,a,0.39025321500957943
117,17,18,male,stream.,delicious,0.38547016301890835
118,17,18,male,stream.,meal,0.4399536649871152
119,17,18,male,stream.,together,0.4084123920183629
